discipline_id,name,description,year,study_year_id
1iqc4pn5j-1hvn9u2,Advanced Programming,Advanced Programming,2,1iqc11195-aocb6h
1iqc4pn5l-cdpf70,Algebraic Foundations of Computer Science,Algebraic Foundations of Computer Science,1,1iqc11195-aocb6h
1iqc4pn5n-10hl039,Algorithm Design,Algorithm Design,1,1iqc11195-aocb6h
1iqc4pn5r-1pa5us6,Analiza experimentala a algoritmilor,Analiza experimentala a algoritmilor,1,1iqc11195-1mivq5u
1iqc4pn5t-tmd71n,Analiza reţelelor media sociale,Analiza reţelelor media sociale,3,1iqc11195-aocb6h
1iqc4pn5v-11k3q1i,Antreprenoriat şi inovare în IT,Antreprenoriat şi inovare în IT,2,1iqc11195-aocb6h
1iqc4pn61-3bsric,Aspecte Computationale in Teoria Numerelor,Aspecte Computationale in Teoria Numerelor,3,1iqc11195-aocb6h
1iqc4pn63-1p0bdm4,"Aspecte pragmatice pentru ingineria serviciilor cloud: arhitecturi, procese și practici","Aspecte pragmatice pentru ingineria serviciilor cloud: arhitecturi, procese și practici",1,1iqc11195-1mivq5u
1iqc4pn6a-14rs02t,Calcul Numeric,Calcul Numeric,3,1iqc11195-aocb6h
1iqc4pn6c-1bf5ksg,Calitatea Sistemelor Software,Calitatea Sistemelor Software,1,1iqc11195-1mivq5u
1iqc4pn6c-2btt2b,Calitatea Sistemelor Software,Calitatea Sistemelor Software,1,1iqc11195-pkj10h
1iqc4pn6h-132l2tv,Capitole Avansate in Vedere Artificiala (Computer Vision),Capitole Avansate in Vedere Artificiala (Computer Vision),1,1iqc11195-pkj10h
1iqc4pn6h-sjv5ad,Capitole Avansate in Vedere Artificiala (Computer Vision),Capitole Avansate in Vedere Artificiala (Computer Vision),1,1iqc11195-1mivq5u
1iqc4pn6k-k4kvgf,Capitole Speciale de Invatare Automata,Capitole Speciale de Invatare Automata,1,1iqc11195-1mivq5u
1iqc4pn6n-1vt2lbq,Cercetare Formala I,Cercetare Formala I,1,1iqc11195-13eet2o
1iqc4pn6p-rra21o,Cloud Computing,Cloud Computing,3,1iqc11195-aocb6h
1iqc4pn6s-1ns4r8s,Computer Graphics and Computational Geometry,Computer Graphics and Computational Geometry,3,1iqc11195-aocb6h
1iqc4pn7g-1msorg4,DBMS Practice,DBMS Practice,2,1iqc11195-aocb6h
1iqc4pn7j-d2vfph,Data Mining,Data Mining,1,1iqc11195-1mivq5u
1iqc4pn7j-m888mn,Data Mining,Data Mining,1,1iqc11195-1cm1f1j
1iqc4pn7o-99qui1,Didactica Specializarii,Didactica Specializarii,2,1iqc11195-aocb6h
1iqc4pn7v-1hu0u7p,Educatie Fizica,Educatie Fizica,1,1iqc11195-aocb6h
1iqc4pn7v-1el1vqv,Educatie Fizica,Educatie Fizica,2,1iqc11195-aocb6h
1iqc4pn84-k491hc,English 2,English 2,1,1iqc11195-aocb6h
1iqc4pn88-15bfr87,English 4,English 4,2,1iqc11195-aocb6h
1iqc4pn8a-7egn0v,Etica si Integritate Academica,Etica si Integritate Academica,2,1iqc11195-1mivq5u
1iqc4pn8i-phepk6,Fundamentele Algebrice ale Informaticii,Fundamentele Algebrice ale Informaticii,1,1iqc11195-aocb6h
1iqc4pn8s-1lromt3,Grafica pe calculator si geometrie computationala,Grafica pe calculator si geometrie computationala,3,1iqc11195-aocb6h
1iqc4pn9n-ejsne8,Ingineria programarii,Ingineria programarii,2,1iqc11195-aocb6h
1iqc4pn9p-12afk4m,Inginerie Software Specifica Automobilelor,Inginerie Software Specifica Automobilelor,3,1iqc11195-aocb6h
1iqc4pn9t-1b9fm34,Interactiune om-calculator,Interactiune om-calculator,3,1iqc11195-aocb6h
1iqc4pn9v-1pe0uks,Internship,Internship,3,1iqc11195-aocb6h
1iqc4pna2-6v6tu6,Introducere in Criptografie,Introducere in Criptografie,2,1iqc11195-aocb6h
1iqc4pna6-2o2496,Introducere in Internetul Lucrurilor,Introducere in Internetul Lucrurilor,3,1iqc11195-aocb6h
1iqc4pnac-1gp8sus,Limba engleza 2,Limba engleza 2,1,1iqc11195-aocb6h
1iqc4pnai-1du0qi8,Limba engleza 4,Limba engleza 4,2,1iqc11195-aocb6h
1iqc4pnal-16va02g,Limbaje de scripturi,Limbaje de scripturi,1,1iqc11195-1cm1f1j
1iqc4pnao-1f27s13,Managementul Clasei de Elevi,Managementul Clasei de Elevi,3,1iqc11195-aocb6h
1iqc4pnaq-pij5fs,Modelarea Sistemelor Distribuite,Modelarea Sistemelor Distribuite,1,1iqc11195-um9bao
1iqc4pnau-1b7q1lk,Numerical Calculus,Numerical Calculus,3,1iqc11195-aocb6h
1iqc4pnb1-16qtjum,Object Oriented Programming,Object Oriented Programming,1,1iqc11195-aocb6h
1iqc4pnb5-1k5pabh,Operating Systems,Operating Systems,1,1iqc11195-aocb6h
1iqc4pnb9-1efrnas,Pedagogie 1,Pedagogie 1,1,1iqc11195-aocb6h
1iqc4pnbs-k6cufb,Practica SGBD,Practica SGBD,2,1iqc11195-aocb6h
1iqc4pnc1-pumku5,Practica de Specialitate,Practica de Specialitate,3,1iqc11195-aocb6h
1iqc4pnc6-1e7nh9a,Practica profesionala/cercetare,Practica profesionala/cercetare,2,1iqc11195-1mivq5u
1iqc4pnc6-svqb8c,Practica profesionala/cercetare,Practica profesionala/cercetare,2,1iqc11195-1cm1f1j
1iqc4pnc6-p73nn7,Practica profesionala/cercetare,Practica profesionala/cercetare,2,1iqc11195-pkj10h
1iqc4pnc7-1571nud,Practica profesionala/cercetare,Practica profesionala/cercetare,2,1iqc11195-um9bao
1iqc4pnc7-5pq8gu,Practica profesionala/cercetare,Practica profesionala/cercetare,2,1iqc11195-1obnk7m
1iqc4pnc7-i68c1c,Practica profesionala/cercetare,Practica profesionala/cercetare,2,1iqc11195-13eet2o
1iqc4pnc8-54khle,Prelucrarea Statistica a Limbajului Natural,Prelucrarea Statistica a Limbajului Natural,1,1iqc11195-1cm1f1j
1iqc4pnca-njifag,Prelucrarea Vorbirii si Sisteme Fuzzy,Prelucrarea Vorbirii si Sisteme Fuzzy,1,1iqc11195-1cm1f1j
1iqc4pnce-g2gg37,Probabilitati si statistica,Probabilitati si statistica,1,1iqc11195-aocb6h
1iqc4pncj-amvut7,Probabilities and Statistics,Probabilities and Statistics,1,1iqc11195-aocb6h
1iqc4pncm-2tcil1,Programare Competitiva,Programare Competitiva,1,1iqc11195-aocb6h
1iqc4pncr-12bsorc,Programare Funcțională,Programare Funcțională,2,1iqc11195-aocb6h
1iqc4pnd3-rn0o5n,Programare avansată,Programare avansată,2,1iqc11195-aocb6h
1iqc4pnd6-qek62h,Programare concurentă şi distribuită,Programare concurentă şi distribuită,1,1iqc11195-pkj10h
1iqc4pnd6-vdkl9j,Programare concurentă şi distribuită,Programare concurentă şi distribuită,1,1iqc11195-1mivq5u
1iqc4pnde-nd5mir,Programare orientata-obiect,Programare orientata-obiect,1,1iqc11195-aocb6h
1iqc4pndk-l9ovbv,Proiectarea algoritmilor,Proiectarea algoritmilor,1,1iqc11195-aocb6h
1iqc4pndo-170uqmp,Proiectarea jocurilor,Proiectarea jocurilor,3,1iqc11195-aocb6h
1iqc4pndq-1bn3jdm,Protocoale de securitate. Modelare si verificare.,Protocoale de securitate. Modelare si verificare.,1,1iqc11195-um9bao
1iqc4pndq-1733tmp,Protocoale de securitate. Modelare si verificare.,Protocoale de securitate. Modelare si verificare.,1,1iqc11195-1obnk7m
1iqc4pndt-1jmjukq,Psihologia Comunicarii Profesionale in Domeniul IT-ului,Psihologia Comunicarii Profesionale in Domeniul IT-ului,3,1iqc11195-aocb6h
1iqc4pndv-15rg3b2,Retele Petri si Aplicatii,Retele Petri si Aplicatii,3,1iqc11195-aocb6h
1iqc4pnee-1imvroe,Securitate IoT,Securitate IoT,1,1iqc11195-1obnk7m
1iqc4pneg-nt9dmv,Securitatea Retelelor de Calculatoare,Securitatea Retelelor de Calculatoare,1,1iqc11195-1obnk7m
1iqc4pnej-l3rou0,Sisteme Bazate pe Evenimente,Sisteme Bazate pe Evenimente,1,1iqc11195-1mivq5u
1iqc4pnej-12kbfdq,Sisteme Bazate pe Evenimente,Sisteme Bazate pe Evenimente,1,1iqc11195-pkj10h
1iqc4pnem-hnmct9,Sisteme Embedded,Sisteme Embedded,2,1iqc11195-aocb6h
1iqc4pneq-1k4ru9s,Sisteme bazate pe cunoștințe,Sisteme bazate pe cunoștințe,3,1iqc11195-aocb6h
1iqc4pnes-ncje5t,Sisteme de Dialog si Asistenti Virtuali,Sisteme de Dialog si Asistenti Virtuali,1,1iqc11195-1cm1f1j
1iqc4pnf4-keq11h,Sisteme de Operare,Sisteme de Operare,1,1iqc11195-aocb6h
1iqc4pnf7-7krg88,Smart Card-uri si Aplicatii,Smart Card-uri si Aplicatii,3,1iqc11195-aocb6h
1iqc4pnfb-ocanpl,Software Engineering,Software Engineering,2,1iqc11195-aocb6h
1iqc4pnff-menn43,Specificarea şi verificarea sistemelor,Specificarea şi verificarea sistemelor,1,1iqc11195-um9bao
1iqc4pnfj-qboqeu,Tehnici de Programare pe Platforme Mobile,Tehnici de Programare pe Platforme Mobile,3,1iqc11195-aocb6h
1iqc4pnfl-17d0irb,Tehnici de procesarea limbajului natural,Tehnici de procesarea limbajului natural,3,1iqc11195-aocb6h
1iqc4pnfu-2ear1l,Tehnologii Web,Tehnologii Web,2,1iqc11195-aocb6h
1iqc4png1-17a79dj,Topici avansate in .NET,Topici avansate in .NET,3,1iqc11195-aocb6h
1iqc4png5-191r8tq,Tutoriat,Tutoriat,2,1iqc11195-aocb6h
1iqc4png5-1dceolv,Tutoriat,Tutoriat,3,1iqc11195-aocb6h
1iqc4png5-rk4c1a,Tutoriat,Tutoriat,2,1iqc11195-um9bao
1iqc4png7-1ic1jju,Tutoriat,Tutoriat,1,1iqc11195-1obnk7m
1iqc4png7-1h1f2bl,Tutoriat,Tutoriat,1,1iqc11195-aocb6h
1iqc4pnga-1lg8mak,Web Technologies,Web Technologies,2,1iqc11195-aocb6h
